12.76,?,0.8964,5.073,?,2.828,?,3
?,13.44,0.8609,5.219,?,?,5.045,3
12.67,?,?,?,?,2.3,4.745,3
11.18,?,?,?,?,4.051,?,3
12.7,13.41,0.8874,?,?,8.456,5,3
12.37,?,?,?,2.96,?,?,3
12.19,13.2,0.8783,?,?,3.631,?,3
?,?,0.8511,?,2.795,?,5.003,3
?,13.66,0.8883,5.236,?,8.315,?,3
?,?,?,5.175,2.836,?,5.044,3
12.3,13.34,?,5.243,?,5.637,5.063,3
